354	هل  لفظ (العام) مثل لفظ (السّنة) في القرآن؟
356	ما هي أنواع الجهاد؟
357	ما هو فضل الجهاد في سبيل الله؟
361	ما الدلائل على أن هناك اختلاف بين الرسول  والنبي؟
362	هل استخدم لفظ (المطر) في القرآن للعذاب فقط؟
363	هل كلمة (صوم) في القرآن لا تعني صياما عن الأكل والشرب؟
364	"لماذا سيُحاسب ويُعذب الضال يوم القيامة ان كان ""من يضلل الله فما له من هاد"" كما ورد من قوله تعالى في آية 23 و آية 36 من سورة الزمر؟"
365	هل هناك إشارات في القرآن عن نهاية الكيان الصهيوني؟
367	من هم الشفعاء؟
368	ما هي عقوبة من يتهم المرأة بالزنا بغير دليل؟
369	ما الدلائل على أن المسيح لم يصلب؟
370	ما هي شروط الشفاعة؟
371	هل كان سيدنا يوسف عليه السلام رسولا أم نبيا؟
372	ما الدلائل على أن القرآن ليس من تأليف سيدنا محمد (ص)؟
373	هل سيدنا محمد (ص) هو أول المسلمين؟
375	لماذا لا تعادل شهادة مرأة واحدة بشهادة رجل واحد في الأمور المالية أو ما هو متعلق بالأمور المالية؟
376	هل تجوز شهادة أربعة نساء بدلا من رجلين في الأمور المالية أو ما هو متعلق بالأمور المالية؟
378	إن كان الله قدّر علي أفعالي فلماذا يحاسبني؟
379	لماذا يتوضأ المسلمون؟
380	ما الغاية من الوضوء قبل الصلاة؟
385	"مع أن السؤال هو أساس كل العلوم، لماذا نهى الله المؤمنين عن طرح الأسئلة كما جاء في سورة المائدة آية 101؟"
389	ما الدليل على أن القرآن صالح لكل مكان وزمان؟
393	"اتهم القرآن بأنه السبب في الدكتاتورية الإسلامية لكونه أباح التكفير وقتال الكفار حتى يسلموا، كيف نرد على ذلك؟"
395	لماذا حرم الله التبني؟
396	لماذا أباح القرآن حرمة الأشهر الحرم؟
398	هل بعثة النبي محمد تشمل الجن مع الإنس؟
399	هل تحدث سيدنا محمد مع الجن؟
400	متى يحل الإسلام دم الشخص؟
401	هل أخبر القرآن عن الذرّة؟
402	هل ذكر القرآن أن الإنجيل تم تحريفه؟
404	هل مات المسيح بالفعل؟
405	هل أشار القرآن الى نقص الأكسجين في المرتفعات؟
407	هل ذكر القرآن أن التوراة تم تحريفها؟
408	ما حكم من يرتد عن دين الإسلام؟
409	هل تحدثت الحيوانات في القرآن؟
410	هل يجوز معاملة أهل الكتاب بالبر والحسنى؟
411	هل لم يتغير أي حرف من القرآن؟
412	لماذا لم يساوِ الإسلام بين الرجل والمرأة في الشهادة أمام القاضي؟
413	هل يجوز سبي النساء واسترقاقهن كما تفعله بعض الجهات المنتسبة للإسلام بالباطل؟
414	لماذا لا يكتفي المسلمون بالقرآن الكريم ويلجأون للسنة أيضاً؟
415	هل هناك إسلام بدون الحديث الشريف؟
416	هل الإسلام دين سلام؟
417	هل سمح الإسلام بحرية الاعتقاد بالدخول إلى الإسلام؟
421	هل وجود قراءات مختلفة للقرآن لا يعني تحريفه؟
422	ما هي الأماكن التي ذُكرت في القرآن كأماكن مقدسة؟
423	لماذا لم يتم حذف الآيات المنسوخة من القرآن؟
426	هل حذر القرآن المؤمنين من اتخاذ أهل الكتاب أولياء لهم؟
427	بأي طريقة حث القرآن المؤمنين على مجادلة أهل الكتاب؟
500	ممّ نجى الله سبحانه وتعالى سيدنا إبراهيم؟
505	ما الدلائل على أن القرآن أُنزل لجميع الناس أو جميع الأمم والشعوب؟
508	"مع ازدياد عدد سكان الارض، هل يجب أن نقلق أو نخاف من عدم كفاية مصادر الغذاء والرزق؟"
510	"اتفاقية ""سيداو"" تقول لا يُسمح للرجل بتعدد الزوجات. كيف نرد على ذلك من نصوص القرآن؟ "
513	"اتفاقية ""سيداو"" تقول الرجل لا يملك الولاية على المرأة والأب لا يملك الولاية على بناته.  كيف نرد على ذلك من نصوص القرآن؟ "
518	"لكون البخل لا يقتصر على المال فقط، ماذا يشمل البخل او الشح (بما فيه المال)؟"
519	ما هي عواقب البخل أو الشح؟
525	ماذا تشمل الأمانة في القرآن؟
527	لماذا قد يبتلي الله المؤمنين قبل أن يمكنهم؟
528	هل يقتصر الابتلاء على العاصي لله دون غيره؟
529	هل يمكن أن يكون الابتلاء بفتح الرزق والخيرات عموما؟
533	ما هو ثواب من يعفو ويصفح؟
534	"الحلي من الذهب لا يجوز أن يلبسها الرجل في الدنيا، هل سيكون مباحا لبسها في الآخرة؟"
536	هل يريد الله منا أن نكون قانتين؟
539	ما هي وسائل استمالة وكسب القلوب (حتى القاسية منها)؟
542	ما هي أفضل الوسائل لاكتساب العزيمة والشجاعة في الإقدام على أي عمل (وخاصة العمل الذي به صعوبة ومشقة)؟
545	هل هناك فرق بين علم اليقين وعين اليقين؟
550	من هم الأنبياء الذين وصفهم الله بالحلم؟
555	بماذا شبه الله الإنسان الذي يغتاب الآخرين؟
557	"في سورة المجادلة قال الله تعالى ""إنما النجوى من الشيطان"" مع أن التناجي يمكن أن يكون بالبر والتقوى وليس مقتصرا على الإثم والعدوان. فلماذا نهانا الله عن النجوى في بعض الآيات؟"
558	"قال الرسول (صلى الله عليه وسلم):"" كل مولود يولد على الفطرة"" هل هذا المعنى موجود في القرآن؟"
560	المصلح هو الصالح في ذاته والمصلح لغيره. ما الدلائل على أن الصالح قد يهلك وأما المصلح فإن الله ينجيه؟
561	ما هي أخطار وعواقب السكوت عن المنكر؟
562	إذا كان الشيطان شراً فلماذا خلقه الله وسمح له بغواية الإنسان؟
563	ماذا قال عيسى عليه السلام عندما سأله الله إذا كان قد طلب من أمته ان يعبدوه من دون الله؟
571	هل البيع مثل الربا؟
575	لماذا سُمي شهر رمضان بشهر القرآن؟
576	ما هي أكثر صفقات البيع ربحا التي ذكرها القرآن؟
580	هل يستطيع الشيطان أن يغوي جميع الناس؟
602	هل يعتبر الإسلام ديناً متعدد الثقافات والعرقيات؟
611	هل هناك دليل أو أدلة على وحدة الأديان التي أنزلها الله؟
323	هل حفظ القرآن عن ظهر قلب  فرض؟
324	هل تجويد القرآن فرض؟
338	هل يوجد علاقة بين أجزاء الدّماغ وقدرات الإنسان؟
358	هل هناك فرق بين فرض العين وفرض الكفاية؟
112	من هي ملكة سبأ؟
268	من هم الذين حاربوا الرسول محمد عليه السلام في مكة؟
110	ما معنى الجاثية؟
344	ما هي المنافع الصحية لصلاة الفجر؟
251	كم استغرق سيدنا نوح عليه السلام في بناء السفينة؟
255	كم دام إبتلاء أيوب عليه السلام؟
151	اين تقع قبلة المسلمين الأولى؟
230	أين نزلت سورة العلق؟
244	اين نزلت التوراة على سيدنا موسى؟
252	أين يقع الجودي؟
339	هل هناك فرق بين العقل والدماغ؟
381	"مقاتلو داعش مثلا أو المفسدون في الأرض من التنظيمات الإرهابية، يتوضؤون أيضا، فهل هذا يجعلهم أطهارا؟"
388	"هل التعبير ""الآن خفف الله عنكم وعلم أن فيكم ضعفا"" (الأنفال:66) يعني بأن الله لم يكن يعلم وهو من المفترض أن الله عالم بالغيب؟"
425	هل سيدنا محمد هو أفضل الأنبياء؟
382	"لو كان الوضوء للنظافة، لماذا علينا إعادته بعد خروج الريح؟"
418	"سمح الإسلام بحرية الاعتقاد بالدخول إلى الإسلام (لا إكراه في الدين)، ولكن لماذا رفض لمن دخل في الإسلام الخروج منه ولم يجعله حراً؟"
334	كيف نفسر أوجه التناقض في أمر خروج المرأة المسلمة للقتال والصلاة في عهد رسول الله (ص) وبين ما أمروا به من بقائهن في بيوتهن والامتناع عن التبرج كتبرج الجاهلية الأولى في سورة الأحزاب آية 33؟
374	كيف يكون سيدنا محمد (ص) هو أول المسلمين (الأنعام:163 و غافر: 12) مع أن سيدنا إبراهيم كان حنيفا مسلما قبله (آل عمران:67)؟
391	"اتهم القرآن بأنه السبب في الدكتاتورية الإسلامية لكونه أباح سبي النساء، كيف نرد على ذلك؟"
392	"اتهم القرآن بأنه السبب في الدكتاتورية الإسلامية لكونه أباح ضرب  النساء في حالة النشوز، كيف نرد على ذلك؟"
394	"اتهم القرآن بأنه السبب في الدكتاتورية الإسلامية لكونه فرض الجزية على غير المسلمين، كيف نرد على ذلك؟"
387	ألا يعد تكليف المؤمن بالثبات أمام عشرة (الأنفال:65) تكليفا بما لا يطاق؟
522	ما الفرق بين التبذير والإسراف؟
535	ما معنى القلب المنيب؟
547	من هو الصحابي الذي قال له رسول الله (صلى الله عليه وسلم) في الغار لا تحزن إن الله معنا؟
554	ما معنى كلمة أواب في القرآن؟
582	من هم العشرة المبشرين بالجنة؟
